"sample_label","mehlichp_g","iron_g","WSOC_g","base_cations_g","NH4_NO3_g","totalCN_g","bulk_for_drying_g","mehlichp_mL","iron_mL","WSOC_mL","base_cations_mL","NH4_NO4_mL","notes"
"COMPASS_May22_163",0.97,1.21,7.99,5.02,4.98,,8.02,"10","12","40","25","25",
"COMPASS_May22_164",0.99,1.2,8.01,4.99,5.01,,7.98,"10","12","40","25","25",
"COMPASS_May22_165",1.02,1.18,8,5.02,5.01,,8.02,"10","12","40","25","25",
"COMPASS_May22_166",0.96,1.22,8.01,5.01,4.99,,7.98,"10","12","40","25","25",
"COMPASS_May22_167",1.01,1.19,7.98,5.01,4.98,,5.01,"10","12","40","25","25",
"COMPASS_May22_168",1.01,1.2,8,4.98,4.99,,7.98,"10","12","40","25","25",
"COMPASS_May22_169",0.98,1.18,8.01,5,5.01,,8.01,"10","12","40","25","25",
"COMPASS_May22_170",0.99,1.22,8.01,5.01,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_171",1,1.23,8,5,5.01,,8.02,"10","12","40","25","25",
"COMPASS_May22_172",1,1.19,8,5,4.99,,8.02,"10","12","40","25","25",
"COMPASS_May22_173",1.03,1.21,7.99,5.01,5.01,,8,"10","12","40","25","25",
"COMPASS_May22_174",1.04,1.19,7.98,4.99,4.99,,8.01,"10","12","40","25","25",
"COMPASS_May22_175",1,1.17,8.01,5.01,5,,7.99,"10","12","40","25","25",
"COMPASS_May22_176",1.01,1.25,8.02,5,5,,7.98,"10","12","40","25","25",
"COMPASS_May22_177",1,1.22,8.01,5,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_178",0.97,1.23,8.01,5.01,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_179",0.98,1.17,7.99,4.99,5,,7.99,"10","12","40","25","25",
"COMPASS_May22_180",0.97,1.25,7.99,5,5.01,,7.99,"10","12","40","25","25",
"COMPASS_May22_181",0.98,1.2,8.01,5.02,5.02,,8.01,"10","12","40","25","25",
"COMPASS_May22_182",0.97,1.25,7.99,5,5.01,,7,"10","12","40","25","25",
"COMPASS_May22_183",0.97,1.19,7.99,5.02,5.02,,8.02,"10","12","40","25","25",
"COMPASS_May22_184",0.99,1.22,8.01,5.01,4.99,,8,"10","12","40","25","25",
"COMPASS_May22_185",1.02,1.19,8.01,5.02,5,,8,"10","12","40","25","25",
"COMPASS_May22_186",0.99,1.22,8,4.99,5.01,,7.99,"10","12","40","25","25",
"COMPASS_May22_187",1,1.2,7.98,5.01,5.01,,7.98,"10","12","40","25","25",
"COMPASS_May22_188",1.04,1.15,8.01,5.02,5.02,,8,"10","12","40","25","25",
"COMPASS_May22_189",0.99,1.19,8.01,5.02,4.99,,7.99,"10","12","40","25","25",
"COMPASS_May22_190",1.01,1.18,8.01,5.01,5,,7.99,"10","12","40","25","25",
"COMPASS_May22_191",1,1.18,8.01,5,4.99,,7.99,"10","12","40","25","25",
"COMPASS_May22_192",1.01,1.18,8,4.98,5.01,,8.01,"10","12","40","25","25",
"COMPASS_May22_193",1,1.17,7.99,4.99,4.99,,8.02,"10","12","40","25","25",
"COMPASS_May22_194",1.04,1.19,8,5.01,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_195",1.03,1.22,8.02,4.98,5,,8,"10","12","40","25","25",
"COMPASS_May22_196",0.97,1.24,8,5.01,5,,8,"10","12","40","25","25",
"COMPASS_May22_197",1,1.19,8.01,5.01,5.01,,8.01,"10","12","40","25","25",
"COMPASS_May22_198",1.01,1.23,8.01,4.98,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_199",0.97,1.23,8,5.01,5.01,,7.99,"10","12","40","25","25",
"COMPASS_May22_200",1.01,1.19,8.01,5,5,,7.98,"10","12","40","25","25",
"COMPASS_May22_201",1.03,1.2,8.01,5.01,5.02,,8.02,"10","12","40","25","25",
"COMPASS_May22_202",0.99,1.22,8,5.01,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_203",1.04,1.21,8,5.01,5.01,,8.01,"10","12","40","25","25",
"COMPASS_May22_204",0.97,1.19,8,4.99,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_205",,,,,,,,,,,,,
"COMPASS_May22_206",1.01,1.24,7.99,5.02,5.02,,8.02,"10","12","40","25","25",
"COMPASS_May22_207",1.02,1.2,7.99,5,5.01,,7.99,"10","12","40","25","25",
"COMPASS_May22_208",0.98,1.22,8,4.99,5,,8,"10","12","40","25","25",
"COMPASS_May22_209",1.02,1.19,7.98,4.99,5.01,,7.99,"10","12","40","25","25",
"COMPASS_May22_210",0.96,1.21,8.01,5.01,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_211",1,1.19,8.02,5.01,5,,8.01,"10","12","40","25","25",
"COMPASS_May22_212",1.02,1.2,8,5.02,5.02,,8.01,"10","12","40","25","25",
"COMPASS_May22_214",1,1.21,7.99,4.99,4.99,,8.02,"10","12","40","25","25",
"COMPASS_Aug22_215",0.99,0.62,7.98,5.02,4.98,5.01,46.62,"10","12","40","25","25","Re-weighed for WSOC due to an error (second weight:8g)"
"COMPASS_Aug22_216",0.99,1.16,8,5.02,5,4.99,57.2,"10","12","40","25","25",
"COMPASS_Aug22_217",0.99,0.92,8.01,5.02,4.99,5,39.82,"10","12","40","25","25",
"COMPASS_Aug22_218",0.98,0.98,7.98,5.01,5.02,5,56.98,"10","12","40","25","25",
"COMPASS_Aug22_219",0.99,0.82,7.98,4.99,5,4.99,47.49,"10","12","40","25","25",
"COMPASS_Aug22_220",1.03,0.84,8.02,4.98,5.01,4.99,50.22,"10","12","40","25","25",
"COMPASS_Aug22_221",0.99,0.52,8.01,5.04,5.03,4.96,50.84,"10","12","40","25","25",
"COMPASS_Aug22_222",1.02,0.81,8.05,4.97,5.04,5.02,55.91,"10","12","40","25","25",
"COMPASS_Aug22_223",0.98,0.6,8,4.99,4.98,5.05,47.04,"10","12","40","25","25",
"COMPASS_Aug22_224",0.98,1.08,7.97,5.04,4.99,4.99,46.01,"10","12","40","25","25",
"COMPASS_Aug22_225",1.03,0.75,8.01,5,5.03,4.97,24.14,"10","12","40","25","25",
"COMPASS_Aug22_226",1.03,0.8,8.04,5.05,4.98,4.95,41.02,"10","12","40","25","25",
"COMPASS_Aug22_227",1,0.54,7.95,5,5.01,5,47.54,"10","12","40","25","25",
"COMPASS_Aug22_228",0.97,1.2,7.97,5,5,5.04,41.54,"10","12","40","25","25",
"COMPASS_Aug22_229",1,1.12,8.03,5.02,4.96,5.03,43.24,"10","12","40","25","25",
"COMPASS_Aug22_230",0.97,0.68,8.02,5.03,5.01,4.95,63.62,"10","12","40","25","25",
"COMPASS_Aug22_231",1.04,0.82,8.02,5.01,5,5,53.73,"10","12","40","25","25",
"COMPASS_Aug22_232",0.99,1.09,8.02,5,4.99,5.02,52.44,"10","12","40","25","25",
"COMPASS_Aug22_233",1.02,1.2,7.99,5,5.01,5,53.97,"10","12","40","25","25",
"COMPASS_Aug22_234",0.98,0.65,8,5.01,5.02,5.01,58.19,"10","12","40","25","25",
"COMPASS_Aug22_235",0.97,0.58,8.02,5.02,4.98,4.98,58.03,"10","12","40","25","25",
"COMPASS_Aug22_236",1.02,0.54,7.98,5.01,4.98,4.98,58.54,"10","12","40","25","25","some weird red small twig-shaped"
"COMPASS_Aug22_237",0.99,0.74,8.01,4.99,5.02,4.99,56.69,"10","12","40","25","25",
"COMPASS_Aug22_238",1.02,0.78,8.05,4.99,5.05,4.96,43.76,"10","12","40","25","25",
"COMPASS_Aug22_239",1.02,1.19,7.99,4.95,4.99,5.03,80.72,"10","12","40","25","25",
"COMPASS_Aug22_240",0.97,0.88,7.96,4.98,5.02,4.98,65.4,"10","12","40","25","25",
"COMPASS_Aug22_241",0.96,0.59,8.04,5,5.02,5.02,37.8,"10","12","40","25","25",
"COMPASS_Aug22_242",0.98,1.18,8,5,4.97,5,58.04,"10","12","40","25","25",
"COMPASS_Aug22_243",1.02,0.58,7.95,4.96,4.97,5.03,50.12,"10","12","40","25","25",
"COMPASS_Aug22_244",0.97,0.8,8.01,4.98,5.05,5.03,60.94,"10","12","40","25","25",
"COMPASS_Aug22_245",0.98,0.88,7.99,5.01,5.04,5.05,55.46,"10","12","40","25","25",
"COMPASS_Aug22_246",0.97,0.52,8.03,4.96,5.03,5.04,45.95,"10","12","40","25","25",
"COMPASS_Aug22_247",0.98,1.22,8.05,5.02,5.01,5,59.85,"10","12","40","25","25",
"COMPASS_Aug22_248",1,0.92,8.03,4.96,5.01,4.95,100.39,"10","12","40","25","25",
"COMPASS_Aug22_249",0.99,,7.96,4.98,4.96,5,86.06,"10",,"40","25","25",
"COMPASS_Aug22_250",1.04,0.84,8.03,5.02,4.97,5,90.17,"10","12","40","25","25",
"COMPASS_Aug22_251",1.04,1.21,7.96,5.05,5.03,4.99,90.06,"10","12","40","25","25",
"COMPASS_Aug22_252",0.99,0.88,7.97,4.97,5.04,4.99,55.85,"10","12","40","25","25","wrong ratio for extraction (WSOC and Base Cations)"
